,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
accompany,0.16071423537927573,0.01785714290467079,0.017857142912890794,0.017857142996925465,0.017857142909599756,0.16071432103404865,0.017857142908625966,0.5892857289539629
accompanying,0.3749708250577993,0.04166666673667583,0.04166666674888768,0.041666666872560876,0.041666666743929465,0.3750000697349857,0.041666666742610915,0.04169577136255025
accomplice,0.5624999994726286,0.06250000006509,0.06250000007642637,0.06250000019152394,0.0625000000719273,0.06250000003928717,0.06250000007059117,0.06250000001252534
accomplices,0.041669829657756424,0.04166666672365635,0.04166666673348111,0.041666666834186225,0.041666666729589324,0.04166666670102864,0.04166666672845798,0.708330169891844
accomplish,0.06250000000620352,0.06250000001747945,0.5624999998726282,0.06250000005150781,0.0625000000193109,0.06250000001055217,0.06250000001895288,0.062500000003365
accomplished,0.401621688143244,0.04166666677919773,0.04166666679855372,0.041666666997310975,0.04166666679087444,0.04166666673446481,0.041666666788683304,0.34837831096767097
accord,0.06250000001051889,0.06250000002962332,0.06250000003479468,0.06250000008713733,0.06250000003271283,0.5624999997673799,0.06250000003211321,0.0625000000057199
accordance,0.4583516003302103,0.020833333375064107,0.020833333382324976,0.02083333345611735,0.0208333333794088,0.020833333358495677,0.02083333337857759,0.4166483993398014
according,0.26747025526050977,0.08173080771131347,0.004807692322294645,0.004807692344328282,0.004807692321440986,0.33805486584854655,0.08173081292129555,0.21659018127027074
accordion,0.09659081939163695,0.0056818181967786055,0.09659099238571661,0.005681818225872541,0.051136361304176405,0.18750007655382192,0.0056818181980411156,0.5511362957439557
account,0.1874999567560667,0.020833333387718343,0.02083333339712769,0.02083333349331011,0.020833333393388845,0.18750004806148987,0.020833333392247806,0.5208333281186506
accounting,0.0625000000352684,0.06250000009913888,0.06250000011642153,0.0625000002915262,0.0625000001095485,0.06250000005988728,0.06250000010751337,0.5624999991806958
accounts,0.02083458602914115,0.02083333337076103,0.02083333337718007,0.020833333443300774,0.020833333374630073,0.44839062699628396,0.02083333337388983,0.42660812003481313
accumulated,0.013889280026768733,0.013888888920254189,0.01388888892567004,0.01388888898116008,0.12500005638647568,0.14630206705551793,0.12500005491918864,0.5481418747849648
accurate,0.06250000005740365,0.06250000016194691,0.06250000018900985,0.06250000047379951,0.06250000017835212,0.06271164566426665,0.06250000017487779,0.5622883531003434
